id,c2_net,c1_net,c3_net,c4_net,c5_net,c6_net,c7_net,cohort,Race,Sex
3731,915,806,915,915,915,unk,unk,3,1,0
9239,unk,unk,unk,915,915,unk,unk,3,1,1
9222,unk,unk,unk,915,915,unk,unk,3,1,0
603,915,801,915,915,915,unk,unk,3,4,1
3388,806,706,806,915,915,unk,unk,2,1,0
3414,806,706,806,915,915,unk,unk,2,1,0
676,806,701,806,915,915,unk,unk,2,1,1
3704,915,806,915,915,915,unk,unk,3,1,1
3699,915,806,915,915,915,unk,unk,3,1,0
3676,915,806,915,915,915,unk,unk,3,1,1
3729,915,806,915,915,915,unk,unk,3,1,0
3629,915,806,915,915,915,unk,unk,3,1,0
3407,806,706,806,915,915,unk,unk,2,1,0
3746,915,806,915,915,915,unk,unk,3,1,0
3690,915,806,915,915,915,unk,unk,3,1,0
3400,806,706,806,915,915,unk,unk,2,1,1
3726,915,806,915,915,915,unk,unk,3,unk,0
3473,806,706,806,915,915,unk,unk,2,1,0
3663,915,806,915,915,915,unk,unk,3,1,1
3658,915,806,915,915,915,unk,unk,3,1,0
3666,915,806,915,915,915,unk,unk,3,4,0
3379,806,706,806,915,915,unk,unk,2,1,1
3350,806,706,806,915,915,unk,unk,2,4,1
3639,915,806,915,915,915,unk,unk,3,unk,0
3795,915,806,915,915,915,unk,unk,3,unk,0
3722,915,806,915,915,915,unk,unk,3,1,1
3317,806,706,806,915,915,unk,unk,2,unk,1
4655,806,13,806,915,915,unk,unk,2,1,0
3618,915,806,915,915,915,unk,unk,3,1,0
9254,unk,unk,unk,915,915,unk,unk,2,1,1
8457,917,unk,915,915,unk,unk,unk,3,unk,0
8241,806,unk,806,915,915,unk,unk,2,1,1
3624,915,806,915,915,915,unk,unk,3,2,0
9210,unk,unk,unk,915,unk,unk,unk,3,1,0
3762,915,806,915,915,915,unk,unk,3,1,1
3367,806,706,806,915,915,unk,unk,2,1,0
3412,806,706,806,915,915,unk,unk,2,1,0
3288,806,706,806,915,915,unk,unk,2,unk,0
3396,806,706,806,915,915,unk,unk,2,1,1
9221,unk,unk,unk,915,915,unk,unk,3,unk,0
3701,915,806,915,915,915,unk,unk,3,2,0
3659,915,806,915,915,915,unk,unk,3,4,1
3723,915,806,915,915,915,unk,unk,3,1,1
3503,915,806,915,915,915,unk,unk,3,1,1
9229,unk,unk,unk,915,917,unk,unk,2,unk,0
4667,13,13,13,915,13,unk,unk,2,1,0
3673,915,806,915,915,915,unk,unk,3,2,0
8276,915,unk,915,915,unk,unk,unk,3,unk,1
3678,915,806,915,915,915,unk,unk,3,4,1
3552,915,806,915,915,915,unk,unk,3,1,1
3381,806,706,806,915,915,unk,unk,2,1,0
9259,unk,unk,unk,915,915,unk,unk,2,1,0
9233,unk,unk,unk,915,915,unk,unk,2,3,0
9062,unk,unk,806,915,915,unk,unk,2,1,1
3255,806,706,806,915,915,unk,unk,2,unk,0
3645,915,806,915,915,unk,unk,unk,3,1,0
3398,806,706,806,915,915,unk,unk,2,1,0
3623,915,806,915,915,915,unk,unk,3,1,1
